drugName,condition,rating,negative,positive,word_frequency
A / B Otic,Otitis Media,10.0,1.0,0.0,"[('day', 2), ('drop', 1), ('helped', 1), ('much', 1), ('severe', 1)]"
Abacavir / dolutegravir / lamivudine,HIV Infection,10.0,10.0,8.0,"[('no', 16), ('side', 15), ('triumeq', 15), ('year', 14), ('cd', 13)]"
Abacavir / lamivudine,HIV Infection,10.0,2.0,1.0,"[('hiv', 4), ('since', 3), ('combination', 3), ('medicine', 3), ('used', 2)]"
Abatacept,Rheumatoid Arthritis,7.0,4.0,2.0,"[('month', 8), ('medication', 6), ('day', 5), ('first', 3), ('life', 3)]"
Abilify,Depression,8.0,80.0,66.0,"[('behavior', 2), ('son', 1), ('taking', 1), ('abilify', 1), ('help', 1)]"
Abilify Discmelt,Depression,9.0,1.0,0.0,"[('abilify', 3), ('behavior', 3), ('medicine', 2), ('old', 2), ('mg', 2)]"
Abilify Maintena,Schizophrenia,10.0,1.0,0.0,"[('abilify', 26), ('mg', 23), ('side', 23), ('effect', 23), ('day', 21)]"
Abiraterone,Prostate Cance,10.0,1.0,2.0,"[('mg', 42), ('depression', 36), ('abilify', 30), ('day', 24), ('effect', 23)]"
AbobotulinumtoxinA,acial Wrinkles,10.0,1.0,0.0,"[('weight', 17), ('mg', 12), ('year', 12), ('abilify', 12), ('still', 9)]"
Abreva,Herpes Simplex,8.0,37.0,10.0,"[('side', 3), ('effect', 3), ('insomnia', 3), ('slight', 2), ('feel', 2)]"
Absorica,Acne,6.5,2.0,0.0,"[('use', 3), ('medicine', 2), ('symptom', 2), ('associated', 2), ('trauma', 2)]"
Abstral,Breakthrough Pain,4.0,1.0,0.0,"[('medicine', 5), ('not', 4), ('side', 3), ('effect', 3), ('one', 3)]"
Acamprosate,Alcohol Dependence,9.5,22.0,12.0,"[('abilify', 6), ('mg', 6), ('side', 5), ('taking', 5), ('effect', 4)]"
Acanya,Acne,8.5,5.0,5.0,"[('tic', 7), ('abilify', 4), ('since', 3), ('take', 2), ('uncomfortable', 2)]"
Acarbose,"Diabetes, Type 2",8.0,0.0,1.0,"[('xanax', 2), ('help', 1), ('depression', 1), ('xr', 1)]"
Accolate,"Asthma, Maintenance",10.0,1.0,0.0,"[('want', 3), ('sleep', 2), ('hour', 2), ('medication', 2), ('no', 2)]"
Accutane,Acne,9.0,85.0,26.0,"[('psa', 3), ('zytiga', 2), ('month', 2), ('symptom', 2), ('bone', 2)]"
Acetaminophen,Pain,7.0,7.0,2.0,"[('dysport', 3), ('highly', 2), ('recommend', 2), ('using', 2), ('better', 2)]"
